term,normalized_term,type,search_volume_estimate,competition_level,category_name,related_keywords,last_scraped_at,created_at,updated_at
fruit,fruit,asset,,,,,,2026-03-13T00:00:48.998473,2026-03-13T00:00:48.998473
banana,banana,asset,,,,,,2026-03-13T00:01:32.707965,2026-03-13T00:01:32.707965
